municipio,apropiaciondolar,consejocomunal,ejecucion,uribista,pctopo,priorizado,poblacioncienmil,nbi
m1,102.1657639,0,0,0,14.82068634,0,20.91552925,12.17000008
m2,4.190608501,0,0,1,14.50708199,1,0.2405979931,33.77999878
m3,1.590828419,0,0,1,15.08287334,0,0.03975800052,28.54000092
m4,0,0,0,1,6.15248251,0,0.05577399954,33.13999939
m5,0,0,0,1,47.31318665,0,0.2722740173,27.06999969
m6,0,0,0,1,42.53298187,0,0.1932580024,45.25
m7,0,0,0,1,10.45301819,0,0.3894479871,30.46999931
m8,0,0,0,1,60.65989685,0,0.06812000275,25.96999931
m9,0.9204241037,0,0,1,0.8019911051,1,0.1506520063,55.15999985
m10,0,0,0,,44.71195221,0,0.1544339955,48.06999969
m11,33.68893814,0,0,1,46.33257294,0,0.2284180075,40.79999924
m12,0,0,0,,52.48868942,0,0.08776199818,51.34999847
m13,8.094789505,0,0,,7.216283798,0,1.059567928,19.34000015
m14,17.55037498,0,0,,1.874565005,0,0.2386160046,72.13999939
m15,0,1,0,1,51.94581223,0,0.06093800068,39.83000183
m16,62.80370712,0,0,0,33.56657791,0,0.3932679892,21.63999939
m17,0,0,0,1,14.00730801,0,0.0511379987,29.04999924
m18,33.98270798,0,0,1,24.09716797,1,3.823210001,9.029999733
m19,0,0,0,0,55.42060852,1,0.1078400016,31.25
m20,0,0,0,0,63.39973068,0,0.1718280017,45.33000183
m21,0,0,0,1,19.04761887,0,0.2808580101,30.17000008
m22,0,0,0,1,22.53658485,0,0.1048759967,54.93000031
m23,0,0,0,1,68.30731964,1,0.082506001,70.30000305
m24,33.98270798,0,0,1,54.1124115,0,0.2408179939,66.80999756
m25,0,0,0,0,74.49584961,0,0.07637199759,63.84999847
m26,33.98270798,0,0,0,33.33639526,0,0.709544003,13.01000023
m27,0,0,0,1,12.36768818,0,0.1052019969,
m28,0,0,0,,8.913175583,0,0.2138919979,57.09000015
m29,0,0,0,1,21.12852669,0,0.06000199914,29.93000031
m30,0,0,0,1,20.38151169,1,0.0724780038,24.53000069
m31,8.094789505,0,0,1,10.49228287,0,0.4400100112,43.25999832
m32,5.633717537,0,0,,7.690298557,0,0.4630680084,17.70000076
m33,0,0,0,,9.131736755,0,0.04534000158,17.42000008
m34,58.11709595,0,0,0,31.78133392,0,0.710340023,52.38000107
m35,8.094789505,0,0,,10.14342403,0,0.5998839736,40
m36,30.84221077,0,0,0,32.10918427,0,0.1030900031,23.75
m37,0,0,0,1,13.05227566,0,0.1999579966,35.54000092
m38,0,0,0,0,46.81122589,1,0.05564400181,25.95000076
m39,0,0,0,1,10.15437412,0,0.2463440001,39.22000122
m40,33.98270798,0,0,1,26.58468819,0,0.5722339749,9.659999847
m41,8.094789505,0,0,1,67.95632172,0,0.2928000093,66.48999786
m42,0,0,0,1,3.172234774,0,0.1594879925,18.71999931
m43,0,0,0,0,62.75510025,1,0.1401060075,42.52000046
m44,21.37639427,0,0,0,12.84887028,0,0.5926280022,50.75
m45,0,0,0,0,24.28904533,0,0.0849339962,15.27999973
m46,0,1,0,,24.61176872,0,1.689357996,5.360000134
m47,0,0,0,0,50.81337738,1,0.2260140032,24.29999924
m48,1.590828419,0,0,0,54.34313965,0,0.2373020053,44.88999939
m49,8.094789505,0,0,1,19.86179733,1,0.05305400118,47.38000107
m50,62.80370712,0,0,1,11.71356583,0,0.3978800178,15.43000031
m51,0,0,0,1,16.94488144,0,0.09501399845,39.54000092
m52,0,0,0,1,13.29073429,0,0.1561340094,27.02000046
m53,0,0,0,0,55.97374344,1,0.06224199757,48.22000122
m54,0,0,0,1,16.95431519,0,0.3561039865,17.73999977
m55,0,0,0,0,39.56222534,0,0.07428000122,14.89999962
